PARENT_MOLREGNO	CHEMBL_ID	SYNONYMS	DEVELOPMENT_PHASE	RESEARCH_CODES	APPLICANTS	USAN_STEM	USAN_STEM_DEFINITION	USAN_STEM_SUBSTEM	USAN_YEAR	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	INDICATION_CLASS	SC_PATENT	DRUG_TYPE	RULE_OF_FIVE	FIRST_IN_CLASS	CHIRALITY	PRODRUG	ORAL	PARENTERAL	TOPICAL	BLACK_BOX	AVAILABILITY_TYPE	WITHDRAWN_YEAR	WITHDRAWN_COUNTRY	WITHDRAWN_REASON	CANONICAL_SMILES
709806	CHEMBL1270562	"Salazosulfathiazole (DCF, INN);"	0	NSC-114428		sal-	anti-inflammatory agents (salicylic acid derivatives)	sal-							Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				OC(=O)c1cc(ccc1O)N=Nc2ccc(cc2)S(=O)(=O)Nc3nccs3
394804	CHEMBL233248	"Allyl Isothiocyanate (USAN, USP);"	0						1988						Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				C=CCN=C=S
456580	CHEMBL473535	"Fenticlor (BAN, INN, USAN);"	0	S 7					1970				"Anti-Infective, Topical"		Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				Oc1ccc(Cl)cc1Sc2cc(Cl)ccc2O
453505	CHEMBL501613	"Methylpentynol (BAN, DCF, INN); Meparfynol (MI);"	4								N05CM15; N05CX03	"N05CM15 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Other hypnotics and sedatives]; N05CX03 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Hypnotics and sedatives in combination, excl. barbiturates]"			Synthetic Small Molecule	Y	N	Racemic Mixture	N	N	N	N	N	Unknown				CCC(C)(O)C#C
453543	CHEMBL450117	"Glyprothiazol (DCF, INN);"	0	PASIT; RP-2254; VK-57; IPTD											Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				CC(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
697367	CHEMBL1235017	"Orotic Acid (BAN, INN, JAN, MI);"	2												Natural Product-derived	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				OC(=O)C1=CC(=O)NC(=O)N1
227628	CHEMBL343803	Icofungipen (INN);	0												Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	N	N	N	Unknown				N[C@H]1CC(=C)C[C@H]1C(=O)O
608817	CHEMBL609109	"Thioproperazine (BAN, INN); Thioproperazine Dimethanesulfonate (JAN); Thioproperazine Mesylate (MI);"	0								N05AB08	N05AB08 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Phenothiazines with piperazine structure]			Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				CN(C)S(=O)(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(C)CC4)c2c1
621723	CHEMBL1091024	Miocamycin	4			#NAME?	antibiotics (Streptomyces strains)	#NAME?			J01FA11	"J01FA11 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS: Macrolides]"			Natural Product-derived	N	N	Single Stereoisomer	N	N	N	N	N	Unknown				CCC(=O)O[C@@H]1CC(=O)O[C@H](C)C\C=C\C=C\[C@H](OC(=O)C)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(OC(=O)C)[C@@H](OC(=O)CC)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)[C@H]1OC
622436	CHEMBL1089641	Trypan blue (FDA);	4		Dorc International Bv					2004					Synthetic Small Molecule	N	N	Achiral Molecule	N	N	N	Y	N	Prescription-only				Cc1cc(ccc1N=Nc2c(O)c3c(N)cc(cc3cc2S(=O)(=O)O)S(=O)(=O)O)c4ccc(N=Nc5c(O)c6c(N)cc(cc6cc5S(=O)(=O)O)S(=O)(=O)O)c(C)c4
624225	CHEMBL1094636	"Niraparib (FDA, INN, USAN);"	4	MK-4827		#NAME?	poly-ADP-ribose polymerase inhibitors	#NAME?	2011	2017					Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	N	N	N	Prescription-only				NC(=O)c1cccc2cn(nc12)c3ccc(cc3)[C@@H]4CCCNC4
386457	CHEMBL1456	"Mycophenolate mofetil (FDA, USAN); Mycophenolate Mofetil HCl (FDA, USAN);"	4	RS-61443; RS-61443-190	Teva Pharmaceuticals Usa; Roche Palo Alto Llc; Apotex Corp; Apotex Inc; Alkem Laboratories Ltd; Mylan Pharmaceuticals Inc; West-Ward Pharmaceuticals International Ltd; Dr Reddys Laboratories Ltd; Zydus Pharmaceuticals Usa Inc; Vintage Pharmaceuticals Llc				1990	1995			Immunomodulator		Synthetic Small Molecule	Y	N	Achiral Molecule	Y	Y	Y	N	Y	Prescription-only				COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)\CCC(=O)OCCN3CCOCC3
699915	CHEMBL1240704	"Solithromycin (INN, USAN);"	3	OP-1068; CEM-101		#NAME?	antibiotics (Streptomyces strains)	#NAME?	2010		J01FA16	"J01FA16 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS: Macrolides]"			Natural Product-derived	N	N	Single Stereoisomer	N	N	N	N	N	Unknown				CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@@H](C[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(nn3)c4cccc(N)c4)C(=O)O[C@]12C)OC)O[C@@H]5O[C@H](C)C[C@@H]([C@H]5O)N(C)C
360723	CHEMBL385517	"Saxagliptin HCl (FDA); Saxagliptin (INN, USAN, USAN);"	4	BMS-477118; BMS-477118-11	Astrazeneca Ab	#NAME?	dipeptidyl aminopeptidase-IV inhibitors	#NAME?	2007	2009	A10BH03	"A10BH03 [ALIMENTARY TRACT AND METABOLISM: DRUGS USED IN DIABETES: BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS: Dipeptidyl peptidase 4 (DPP-4) inhibitors]"		US-7951400-B2	Synthetic Small Molecule	Y	N	Racemic Mixture	N	Y	N	N	N	Prescription-only				N[C@H](C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N)C34CC5CC(CC(O)(C5)C3)C4
360237	CHEMBL218291	"Forodesine (INN, USAN); Forodesine HCl (USAN);"	2	BCX-1777					2000						Natural Product-derived	N	N	Single Stereoisomer	N	N	N	N	N	Unknown				OC[C@H]1N[C@H]([C@H](O)[C@@H]1O)c2c[nH]c3C(=O)NC=Nc23
293341	CHEMBL367463	"Pranoprofen (INN, JAN, MI);"	0			#NAME?	anti-inflammatory/analgesic agents (ibuprofen type)	#NAME?			S01BC09	"S01BC09 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIINFLAMMATORY AGENTS: Antiinflammatory agents, non-steroids]"			Synthetic Small Molecule	Y	N	Racemic Mixture	N	N	N	N	N	Unknown				CC(C(=O)O)c1ccc2Oc3ncccc3Cc2c1
151063	CHEMBL1101	"Biperiden (BAN, INN, JAN, USP); Biperiden HCl (BAN, FDA, JAN, USP); Biperiden Lactate (BAN, FDA, JAN, USP);"	4		Abbvie Inc					1959	N04AA02	N04AA02 [NERVOUS SYSTEM: ANTI-PARKINSON DRUGS: ANTICHOLINERGIC AGENTS: Tertiary amines]	"Anticholinergic; Antiparkinsonian,Antiparkinsonian; Anticholinergic"		Synthetic Small Molecule	Y	N	Racemic Mixture	N	Y	Y	N	N	Prescription-only				OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4
315123	CHEMBL1371	"Chlorzoxazone (BAN, FDA, INN, JAN, USP);"	4		Sun Pharmaceutical Industries Inc; Par Pharmaceutical Inc; Barr Laboratories Inc; Actavis Elizabeth Llc; Pioneer Pharmaceuticals Inc; Aurolife Pharma Llc; Mikart Inc; Ohm Laboratories Inc.; Janssen Research And Development Llc; Watson Laboratories Inc					1958	M03BB73; M03BB03; M03BB53	"M03BB73 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS: Oxazol, thiazine, and triazine derivatives]; M03BB03 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS: Oxazol, thiazine, and triazine derivatives]; M03BB53 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS: Oxazol, thiazine, and triazine derivatives]"	Relaxant (skeletal muscle)		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	N	Prescription-only				Clc1ccc2OC(=O)Nc2c1
488075	CHEMBL505851	Reposal	4			#NAME?	anti-inflammatory agents (salicylic acid derivatives)	#NAME?			N05CA12	"N05CA12 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Barbiturates, plain]"			Synthetic Small Molecule	Y	N	Racemic Mixture	N	N	N	N	N	Unknown				CCC1(C(=O)NC(=O)NC1=O)C2=CC3CCC(C3)C2
139434	CHEMBL87493	"Fenfluramine (BAN, INN); Fenfluramine HCl (USAN);"	4	AHR-3002					1965		A08AA02	"A08AA02 [ALIMENTARY TRACT AND METABOLISM: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: Centrally acting antiobesity products]"	Anorexic		Synthetic Small Molecule	Y	N	Racemic Mixture	N	N	N	N	N	Withdrawn		United States	Valvulopathy	CCNC(C)Cc1cccc(c1)C(F)(F)F
138698	CHEMBL314010	"Bevantolol (BAN, INN); Bevantolol HCl (JAN, USAN);"	0	CL-775		#NAME?	beta-blockers (propranolol type)	#NAME?	1980		C07AB06	"C07AB06 [CARDIOVASCULAR SYSTEM: BETA BLOCKING AGENTS: BETA BLOCKING AGENTS: Beta blocking agents, selective]"	Cardiac Depressant (anti-arrhythmic); Antihypertensive; Anti-Anginal		Synthetic Small Molecule	Y	N	Racemic Mixture	N	N	N	N	N	Unknown				COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC
237763	CHEMBL1255	Formalin (JAN); Formaldehyde (USP);	4										Disinfectant		Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				C=O
396930	CHEMBL232943	MK-0686	2												Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	N	N	N	Unknown				COC(=O)c1c(Cl)cccc1c2ccc([C@@H](C)NC(=O)C3(CC3)NC(=O)C(F)(F)F)c(F)c2
151412	CHEMBL328250	"Adinazolam Mesylate (USAN); Adinazolam (BAN, INN, USAN);"	0	U-41123F; U-41123					1980		N05BA07	N05BA07 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANXIOLYTICS: Benzodiazepine derivatives]	"Antidepressant,Antidepressant; Sedative-Hypnotic"		Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				CN(C)Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12
181939	CHEMBL1149	"Levocarnitine (BAN, FDA, INN, USAN, USP); Levocarnitine Chloride (INN, JAN);"	4		Teva Pharmaceuticals Usa; Luitpold Pharmaceuticals Inc; Hi Tech Pharmacal Co Inc; Sigma Tau Pharmaceuticals Inc; West-Ward Pharmaceuticals International Ltd; Corepharma Llc; Lyne Laboratories Inc				1987	1985	A16AA01	A16AA01 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Amino acids and derivatives]	Replenisher (carnitine)	US-6335369-B1	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	Y	Y	N	N	Prescription-only				C[N+](C)(C)C[C@H](O)CC(=O)[O-]
209964	CHEMBL127516	"Butamben Picrate (USAN); Butamben (USAN, USP);"	4	ABBOTT-34842					1975				Anesthetic (topical)		Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Withdrawn	1964	United States	Dermatologic Toxicity; Psychiatric Reaction	CCCCOC(=O)c1ccc(N)cc1
14263	CHEMBL14370	"Reboxetine (BAN, INN); Reboxetine Mesylate (USAN);"	4	FCE-20124; PNU-155950E		#NAME?	antidepressants (fluoxetine type)	#NAME?	1997		N06AX18	N06AX18 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Other antidepressants]			Synthetic Small Molecule	Y	N	Racemic Mixture	N	N	N	N	N	Unknown				CCOc1ccccc1OC(C2CNCCO2)c3ccccc3
13494	CHEMBL104	"Clotrimazole (BAN, FDA, INN, JAN, USAN, USP);"	4	BAY-5097; GNF-Pf-3499	Merck Sharp And Dohme Corp; Teva Pharmaceuticals Usa; Paddock Laboratories Llc; Glenmark Pharmaceuticals Sa; Bayer Healthcare Pharmaceuticals Inc; Taro Pharmaceuticals Inc; Glenmark Pharmaceuticals Inc Usa; Schering Plough Healthcare Products Inc; West-Ward Pharmaceuticals International Ltd; Actavis Mid Atlantic Llc				1970	1975	D01AC01; A01AB18; G01AF02	"D01AC01 [DERMATOLOGICALS: ANTIFUNGALS FOR DERMATOLOGICAL USE: ANTIFUNGALS FOR TOPICAL USE: Imidazole and triazole derivatives]; A01AB18 [ALIMENTARY TRACT AND METABOLISM: STOMATOLOGICAL PREPARATIONS: STOMATOLOGICAL PREPARATIONS: Antiinfectives and antiseptics for local oral treatment]; G01AF02 [GENITO URINARY SYSTEM AND SEX HORMONES: GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS: ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS: Imidazole derivatives]"	Antifungal		Synthetic Small Molecule	N	N	Achiral Molecule	N	Y	N	Y	N	Over-The-Counter				Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4
445611	CHEMBL470670	"L-MENTHOL (JAN); Levomenthol (BAN, INN);"	0												Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	N	N	N	Unknown				CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
80719	CHEMBL52125	Chlorproethazine HCl (MI); Chlorproethazine (INN);	0	4909 RP							N05AA07	N05AA07 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Phenothiazines with aliphatic side-chain]			Synthetic Small Molecule	N	N	Achiral Molecule	N	N	N	N	N	Unknown				CCN(CC)CCCN1c2ccccc2Sc3ccc(Cl)cc13
438618	CHEMBL272342	"Efipladib (INN, USAN);"	0	PLA-902		#NAME?	phospholipase A2 inhibitors	#NAME?	2004						Synthetic Small Molecule	N	N	Achiral Molecule	N	N	N	N	N	Unknown				OC(=O)c1ccc(CCCc2c(CCNS(=O)(=O)Cc3ccc(Cl)c(Cl)c3)n(C(c4ccccc4)c5ccccc5)c6ccc(Cl)cc26)cc1
34949	CHEMBL28218	"Bromperidol (BAN, INN, JAN, USAN);"	4	R-11333		#NAME?	antipsychotics (haloperidol type)	#NAME?	1975		N05AD06	N05AD06 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Butyrophenone derivatives]	Antipsychotic		Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Br)cc3
78303	CHEMBL902	"Famotidine (BAN, FDA, INN, JAN, USAN, USP);"	4	MK-208	"Wockhardt Ltd; Fresenius Kabi Usa Llc; Perrigo Co; Perrigo R And D Co; Mylan Pharmaceuticals Inc; Wockhardt Americas Inc; Johnson And Johnson Consumer Inc Mcneil Consumer Healthcare Division; Navinta Llc; Salix Pharmaceuticals Inc; Hospira Worldwide, Inc"	#NAME?	H2-receptor antagonists (cimetidine type)	#NAME?	1984	1986	A02BA03; A02BA53	A02BA03 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): H2-receptor antagonists]; A02BA53 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): H2-receptor antagonists]	Antagonist (to histamine-H2 receptors)	US-5989588-A	Natural Product-derived	N	N	Achiral Molecule	N	Y	Y	N	N	Over-The-Counter				NC(=N)Nc1nc(CSCCC(=N)NS(=O)(=O)N)cs1
390556	CHEMBL395091	"Esketamine (BAN, INN, USAN); Esketamine HCl (USAN);"	4						2013		N01AX14	"N01AX14 [NERVOUS SYSTEM: ANESTHETICS: ANESTHETICS, GENERAL: Other general anesthetics]"			Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	N	N	N	Unknown				CN[C@@]1(CCCCC1=O)c2ccccc2Cl
270986	CHEMBL162036	"Benorilate (BAN, DCF, INN, MI);"	4	WIN-11450							N02BA10	N02BA10 [NERVOUS SYSTEM: ANALGESICS: OTHER ANALGESICS AND ANTIPYRETICS: Salicylic acid and derivatives]			Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(=O)C)cc1
292300	CHEMBL176687	"Acesulfame (BAN, INN, MI); Acesulfame Potassium (NF);"	3												Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				CC1=CC(=O)NS(=O)(=O)O1
278887	CHEMBL436052	Axamozide (INN);	0												Synthetic Small Molecule	Y	N	Racemic Mixture	N	N	N	N	N	Unknown				Oc1nc2cc(Cl)ccc2n1C3CCN(CC4COc5ccccc5O4)CC3
79345	CHEMBL49943	"Fenpiprane (BAN, INN);"	0								A03AX01	A03AX01 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: Other drugs for functional gastrointestinal disorders]			Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				C(CN1CCCCC1)C(c2ccccc2)c3ccccc3
255609	CHEMBL347830	"Bufetolol HCl (JAN); Bufetolol (INN, MI);"	0	Y-6124 [As Hydrochloride]		#NAME?	beta-blockers (propranolol type)	#NAME?							Synthetic Small Molecule	Y	N	Racemic Mixture	N	N	N	N	N	Unknown				CC(C)(C)NCC(O)COc1ccccc1OCC2CCCO2
351701	CHEMBL211456	"Ephedrine Sulfate (FDA, USP); Ephedrine HCl (BAN, JAN, USP); Ephedrine Sulphate (BAN); Ephedrine (BAN, USP);"	4		Flamel Ireland Limited	#NAME?	sympathomimetics	#NAME?		2016	R01AA03; R01AB05; C01CA26; A08AA56; S01FB02	"R01AA03 [RESPIRATORY SYSTEM: NASAL PREPARATIONS: DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE: Sympathomimetics, plain]; R01AB05 [RESPIRATORY SYSTEM: NASAL PREPARATIONS: DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE: Sympathomimetics, combinations excl. corticosteroids]; C01CA26 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES: Adrenergic and dopaminergic agents]; A08AA56 [ALIMENTARY TRACT AND METABOLISM: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: Centrally acting antiobesity products]; S01FB02 [SENSORY ORGANS: OPHTHALMOLOGICALS: MYDRIATICS AND CYCLOPLEGICS: Sympathomimetics excl. antiglaucoma preparations]"	"Adrenergic,Bronchodilator"		Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	Y	N	N	Prescription-only				CN[C@@H](C)[C@H](O)c1ccccc1
49018	CHEMBL286452	Alfatradiol (INN);	0												Natural Product-derived	Y	N	Single Stereoisomer	N	N	N	N	N	Unknown				C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@H]2O
87313	CHEMBL293299	Aditoprim (INN);	0			#NAME?	antibacterials (trimethoprim type)	#NAME?							Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				COc1cc(Cc2cnc(N)nc2N)cc(OC)c1N(C)C
190417	CHEMBL114283	"Daniquidone (BAN, INN);"	0	BAY-H-2049											Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				Nc1ccc2N=C3N(Cc2c1)C(=O)c4ccccc34
