MOLECULE_CHEMBL_ID	MOLECULE_NAME	MOLECULE_TYPE	FIRST_APPROVAL	MESH_ID	MESH_HEADING	EFO_ID	EFO_NAME	MAX_PHASE_FOR_IND	USAN_YEAR	REFS
CHEMBL1201574	Botulinum Toxin Type A Purified Neurotoxin Complex	Unknown	1991	D010146	PAIN	EFO:0003843	PAIN	3	2009	ClinicalTrials$$NCT00403273,NCT01920945,NCT01357798,NCT02249234,NCT01832194,NCT01350375,NCT02078895,NCT02058836$$https://clinicaltrials.gov/search?id=%22NCT00403273%22OR%22NCT01920945%22OR%22NCT01357798%22OR%22NCT02249234%22OR%22NCT01832194%22OR%22NCT01350375%22OR%22NCT02078895%22OR%22NCT02058836%22
CHEMBL1201574	Botulinum Toxin Type A Purified Neurotoxin Complex	Unknown	1991	D003866	DEPRESSIVE DISORDER	EFO:0003761	UNIPOLAR DEPRESSION	2	2009	ClinicalTrials$$NCT02116361$$https://clinicaltrials.gov/search?id=%22NCT02116361%22
CHEMBL1201574	Botulinum Toxin Type A Purified Neurotoxin Complex	Unknown	1991	D052065	VAGINISMUS	HP:0030017	VAGINISMUS	3	2009	ClinicalTrials$$NCT00638066,NCT01352546$$https://clinicaltrials.gov/search?id=%22NCT00638066%22OR%22NCT01352546%22
CHEMBL1201574	Botulinum Toxin Type A Purified Neurotoxin Complex	Unknown	1991	D001281	ATRIAL FIBRILLATION	EFO:0000275	ATRIAL FIBRILLATION	1	2009	ClinicalTrials$$NCT02498769$$https://clinicaltrials.gov/search?id=%22NCT02498769%22
CHEMBL1201565	Epoetin Alfa	Protein	1989	D051436	RENAL INSUFFICIENCY, CHRONIC	EFO:0003884	CHRONIC KIDNEY DISEASE	3	1990	ClinicalTrials$$NCT00156962,NCT01596855,NCT01576341,NCT01170078,NCT00156949,NCT01473407,NCT01473420,NCT02335593$$https://clinicaltrials.gov/search?id=%22NCT00156962%22OR%22NCT01596855%22OR%22NCT01576341%22OR%22NCT01170078%22OR%22NCT00156949%22OR%22NCT01473407%22OR%22NCT01473420%22OR%22NCT02335593%22
CHEMBL1201568	Pegfilgrastim	Protein	2002	D009101	MULTIPLE MYELOMA	EFO:0001378	MULTIPLE MYELOMA	2	2000	ClinicalTrials$$NCT00067639$$https://clinicaltrials.gov/search?id=%22NCT00067639%22
CHEMBL1201568	Pegfilgrastim	Protein	2002	D008223	LYMPHOMA	EFO:0000574	LYMPHOMA	3	2000	ClinicalTrials$$NCT02044276$$https://clinicaltrials.gov/search?id=%22NCT02044276%22
CHEMBL1201550	Denileukin Diftitox	Protein	1999	D016411	LYMPHOMA, T-CELL, PERIPHERAL	EFO:0000211	UNSPECIFIED PERIPHERAL T-CELL LYMPHOMA	1	1997	ClinicalTrials$$NCT01401530$$https://clinicaltrials.gov/search?id=%22NCT01401530%22
CHEMBL1201550	Denileukin Diftitox	Protein	1999	D008223	LYMPHOMA	EFO:0000574	LYMPHOMA	2	1997	ClinicalTrials$$NCT00801918$$https://clinicaltrials.gov/search?id=%22NCT00801918%22
CHEMBL1201558	Interferon Alfa-2b	Protein	1986	D019698	HEPATITIS C, CHRONIC	EFO:0004220	CHRONIC HEPATITIS C INFECTION	2	1987	ClinicalTrials$$NCT01194037,NCT01121731,NCT00624325$$https://clinicaltrials.gov/search?id=%22NCT01194037%22OR%22NCT01121731%22OR%22NCT00624325%22
CHEMBL1201572	Etanercept	Protein	1998	D001172	ARTHRITIS, RHEUMATOID	EFO:0000685	RHEUMATOID ARTHRITIS	4	1998	ClinicalTrials$$NCT00445770,NCT00768053,NCT01578850,NCT01783015,NCT01895309,NCT00796705,NCT00346294,NCT01009879,NCT01313208,NCT01394913,NCT02357069,NCT02481180,NCT00356590,NCT00357903,NCT00418717,NCT00913458,NCT02115750,NCT00132418,NCT00713544,NCT01270997,NCT01331837,NCT01635686,NCT02378506,NCT00249041,NCT00361634,NCT00413452,NCT00520572,NCT00837434,NCT00858780,NCT02308163,NCT02373813$$https://clinicaltrials.gov/search?id=%22NCT00445770%22OR%22NCT00768053%22OR%22NCT01578850%22OR%22NCT01783015%22OR%22NCT01895309%22OR%22NCT00796705%22OR%22NCT00346294%22OR%22NCT01009879%22OR%22NCT01313208%22OR%22NCT01394913%22OR%22NCT02357069%22OR%22NCT02481180%22OR%22NCT00356590%22OR%22NCT00357903%22OR%22NCT00418717%22OR%22NCT00913458%22OR%22NCT02115750%22OR%22NCT00132418%22OR%22NCT00713544%22OR%22NCT01270997%22OR%22NCT01331837%22OR%22NCT01635686%22OR%22NCT02378506%22OR%22NCT00249041%22OR%22NCT00361634%22OR%22NCT00413452%22OR%22NCT00520572%22OR%22NCT00837434%22OR%22NCT00858780%22OR%22NCT02308163%22OR%22NCT02373813%22
CHEMBL1201572	Etanercept	Protein	1998	D001171	ARTHRITIS, JUVENILE	EFO:0002609	CHRONIC CHILDHOOD ARTHRITIS	3	1998	ClinicalTrials$$NCT00962741,NCT00078806,NCT01421069$$https://clinicaltrials.gov/search?id=%22NCT00962741%22OR%22NCT00078806%22OR%22NCT01421069%22
CHEMBL1201192	Armodafinil	Small molecule	2007	D009103	MULTIPLE SCLEROSIS	EFO:0003885	MULTIPLE SCLEROSIS	2	2004	ClinicalTrials$$NCT00981084$$https://clinicaltrials.gov/search?id=%22NCT00981084%22
CHEMBL1201748	Cabazitaxel	Small molecule	2010	D013736	TESTICULAR NEOPLASMS	EFO:0005088	TESTICULAR CARCINOMA	2	2010	ClinicalTrials$$NCT02478502$$https://clinicaltrials.gov/search?id=%22NCT02478502%22
CHEMBL1201748	Cabazitaxel	Small molecule	2010	D055752	SMALL CELL LUNG CARCINOMA	EFO:0000702	SMALL CELL LUNG CARCINOMA	2	2010	ClinicalTrials$$NCT01500720$$https://clinicaltrials.gov/search?id=%22NCT01500720%22
CHEMBL1201610	Corticotropin	Protein	1950	D001172	ARTHRITIS, RHEUMATOID	EFO:0000685	RHEUMATOID ARTHRITIS	2		ClinicalTrials$$NCT01984268$$https://clinicaltrials.gov/search?id=%22NCT01984268%22
CHEMBL1201610	Corticotropin	Protein	1950	D008881	MIGRAINE DISORDERS	EFO:0003821	MIGRAINE DISORDER	2		ClinicalTrials$$NCT01813591$$https://clinicaltrials.gov/search?id=%22NCT01813591%22
CHEMBL1201661	Calcitonin Salmon Recombinant	Protein	2005	D001851	BONE DISEASES, METABOLIC	HP:0000938	OSTEOPENIA	2		ClinicalTrials$$NCT01292187$$https://clinicaltrials.gov/search?id=%22NCT01292187%22
CHEMBL1201661	Calcitonin Salmon Recombinant	Protein	2005	D010001	OSTEITIS DEFORMANS	EFO:0004261	OSTEITIS DEFORMANS	4		DailyMed$$setid=f9d5a587-e2bc-4001-987d-9b04731303cb$$http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f9d5a587-e2bc-4001-987d-9b04731303cb
CHEMBL1201668	Nesiritide	Protein	2001	D006333	HEART FAILURE	EFO:0000373	CONGESTIVE HEART FAILURE	3	1998	ClinicalTrials$$NCT00288730,NCT00813202,NCT00270361,NCT00270400,NCT00475852$$https://clinicaltrials.gov/search?id=%22NCT00288730%22OR%22NCT00813202%22OR%22NCT00270361%22OR%22NCT00270400%22OR%22NCT00475852%22
CHEMBL1201439	Basiliximab	Antibody	1998	D006086	GRAFT VS HOST DISEASE	EFO:0004599	ACUTE GRAFT VS. HOST DISEASE	2	1998	ClinicalTrials$$NCT00235300$$https://clinicaltrials.gov/search?id=%22NCT00235300%22
CHEMBL1201593	Alteplase	Enzyme	1996	D020246	VENOUS THROMBOSIS	HP:0004936	VENOUS THROMBOSIS	1	1989	ClinicalTrials$$NCT00265005$$https://clinicaltrials.gov/search?id=%22NCT00265005%22
CHEMBL1201567	Filgrastim	Protein	1991	D008228	LYMPHOMA, NON-HODGKIN	EFO:0005952	NON-HODGKINS LYMPHOMA	3	1990	ClinicalTrials$$NCT01767714$$https://clinicaltrials.gov/search?id=%22NCT01767714%22
CHEMBL1201606	Ibritumomab Tiuxetan	Antibody	2002	D008228	LYMPHOMA, NON-HODGKIN	EFO:0005952	NON-HODGKINS LYMPHOMA	3	1998	ClinicalTrials$$NCT00644371,NCT00491491,NCT01549886$$https://clinicaltrials.gov/search?id=%22NCT00644371%22OR%22NCT00491491%22OR%22NCT01549886%22
CHEMBL1201496	Insulin Aspart	Protein	2000	D003922	DIABETES MELLITUS, TYPE 1	EFO:0001359	TYPE I DIABETES MELLITUS	3	1998	ClinicalTrials$$NCT02568280,NCT02035371,NCT01868568,NCT01773798,NCT01992588,NCT01924637,NCT02131246,NCT00850161,NCT01536028,NCT01486381,NCT02825251,NCT02938572,NCT01109316,NCT01999322,NCT02003677,NCT01469143,NCT01618188,NCT01269606,NCT00993096,NCT01524809,NCT01051102,NCT01173926,NCT01121289,NCT01526941,NCT01464099,NCT00992537,NCT02612844,NCT02033239,NCT01682902,NCT01934712,NCT01399346,NCT01134107,NCT01296438$$https://clinicaltrials.gov/search?id=%22NCT02568280%22OR%22NCT02035371%22OR%22NCT01868568%22OR%22NCT01773798%22OR%22NCT01992588%22OR%22NCT01924637%22OR%22NCT02131246%22OR%22NCT00850161%22OR%22NCT01536028%22OR%22NCT01486381%22OR%22NCT02825251%22OR%22NCT02938572%22OR%22NCT01109316%22OR%22NCT01999322%22OR%22NCT02003677%22OR%22NCT01469143%22OR%22NCT01618188%22OR%22NCT01269606%22OR%22NCT00993096%22OR%22NCT01524809%22OR%22NCT01051102%22OR%22NCT01173926%22OR%22NCT01121289%22OR%22NCT01526941%22OR%22NCT01464099%22OR%22NCT00992537%22OR%22NCT02612844%22OR%22NCT02033239%22OR%22NCT01682902%22OR%22NCT01934712%22OR%22NCT01399346%22OR%22NCT01134107%22OR%22NCT01296438%22
CHEMBL1201438	Human Interleukin-2	Protein	1992	D003922	DIABETES MELLITUS, TYPE 1	EFO:0001359	TYPE I DIABETES MELLITUS	1	1990	ClinicalTrials$$NCT02265809,NCT01353833$$https://clinicaltrials.gov/search?id=%22NCT02265809%22OR%22NCT01353833%22
CHEMBL1201438	Human Interleukin-2	Protein	1992	D008107	LIVER DISEASES	EFO:0001421	LIVER DISEASE	2	1990	ClinicalTrials$$NCT02949492$$https://clinicaltrials.gov/search?id=%22NCT02949492%22
CHEMBL1201445	Calcitonin Salmon	Protein	1978	D006934	HYPERCALCEMIA	HP:0003072	HYPERCALCEMIA	4		DailyMed$$setid=f9d5a587-e2bc-4001-987d-9b04731303cb$$http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f9d5a587-e2bc-4001-987d-9b04731303cb
CHEMBL1201445	Calcitonin Salmon	Protein	1978	D010001	OSTEITIS DEFORMANS	EFO:0004261	OSTEITIS DEFORMANS	4		DailyMed$$setid=f9d5a587-e2bc-4001-987d-9b04731303cb$$http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f9d5a587-e2bc-4001-987d-9b04731303cb
CHEMBL1201571	Alefacept	Protein	2003	D011565	PSORIASIS	EFO:0000676	PSORIASIS	3	2000	ClinicalTrials$$NCT00808223,NCT00692172,NCT00673556,NCT00674063$$https://clinicaltrials.gov/search?id=%22NCT00808223%22OR%22NCT00692172%22OR%22NCT00673556%22OR%22NCT00674063%22
CHEMBL1201575	Efalizumab	Antibody	2003	D003922	DIABETES MELLITUS, TYPE 1	EFO:0001359	TYPE I DIABETES MELLITUS	2	2001	ClinicalTrials$$NCT00737763$$https://clinicaltrials.gov/search?id=%22NCT00737763%22
CHEMBL1201580	Adalimumab	Antibody	2002	D012507	SARCOIDOSIS	Orphanet:797	SARCOIDOSIS	2	2002	ClinicalTrials$$NCT00690911,NCT00731757$$https://clinicaltrials.gov/search?id=%22NCT00690911%22OR%22NCT00731757%22
CHEMBL1201583	Bevacizumab	Antibody	2004	D015179	COLORECTAL NEOPLASMS	EFO:0000365	COLORECTAL ADENOCARCINOMA	4		DailyMed$$setid=939b5d1f-9fb2-4499-80ef-0607aa6b114e$$http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=939b5d1f-9fb2-4499-80ef-0607aa6b114e####ClinicalTrials$$NCT01181609,NCT01478594,NCT01229813,NCT01338558,NCT00127036,NCT01695772,NCT01918852,NCT00865189,NCT00700102,NCT00265824,NCT02226289,NCT01126866,NCT01588990,NCT00327093,NCT00544700,NCT00349336$$https://clinicaltrials.gov/search?id=%22NCT01181609%22OR%22NCT01478594%22OR%22NCT01229813%22OR%22NCT01338558%22OR%22NCT00127036%22OR%22NCT01695772%22OR%22NCT01918852%22OR%22NCT00865189%22OR%22NCT00700102%22OR%22NCT00265824%22OR%22NCT02226289%22OR%22NCT01126866%22OR%22NCT01588990%22OR%22NCT00327093%22OR%22NCT00544700%22OR%22NCT00349336%22
CHEMBL1201583	Bevacizumab	Antibody	2004	D008545	MELANOMA	EFO:0002617	METASTATIC MELANOMA	2		ClinicalTrials$$NCT00139360$$https://clinicaltrials.gov/search?id=%22NCT00139360%22
CHEMBL1201583	Bevacizumab	Antibody	2004	D008579	MENINGIOMA	Orphanet:2495	MENINGIOMA	2		ClinicalTrials$$NCT02847559$$https://clinicaltrials.gov/search?id=%22NCT02847559%22
CHEMBL1201583	Bevacizumab	Antibody	2004	D018316	GLIOSARCOMA	EFO:1001465	GLIOSARCOMA	2		ClinicalTrials$$NCT01730950,NCT02671981,NCT01498328,NCT01814813,NCT02743078,NCT01894061,NCT01903330$$https://clinicaltrials.gov/search?id=%22NCT01730950%22OR%22NCT02671981%22OR%22NCT01498328%22OR%22NCT01814813%22OR%22NCT02743078%22OR%22NCT01894061%22OR%22NCT01903330%22
CHEMBL1201589	Omalizumab	Antibody	2003	D003866	DEPRESSIVE DISORDER	EFO:0003761	UNIPOLAR DEPRESSION	2	2002	ClinicalTrials$$NCT02072187$$https://clinicaltrials.gov/search?id=%22NCT02072187%22
CHEMBL1201589	Omalizumab	Antibody	2003	D008173	LUNG DISEASES, OBSTRUCTIVE	HP:0006536	OBSTRUCTIVE LUNG DISEASE	4	2002	ATC$$R03DX05$$http://www.whocc.no/atc_ddd_index/?code=R03DX05
CHEMBL1201599	Globulin, Immune	Unknown		D009203	MYOCARDIAL INFARCTION	EFO:0000612	MYOCARDIAL INFARCTION	3		ClinicalTrials$$NCT00430885$$https://clinicaltrials.gov/search?id=%22NCT00430885%22
CHEMBL1201599	Globulin, Immune	Unknown		D003882	DERMATOMYOSITIS	EFO:0000398	DERMATOMYOSITIS	3		ClinicalTrials$$NCT02728752$$https://clinicaltrials.gov/search?id=%22NCT02728752%22
CHEMBL1201604	Tositumomab	Antibody	2003	D008228	LYMPHOMA, NON-HODGKIN	EFO:0005952	NON-HODGKINS LYMPHOMA	3		ClinicalTrials$$NCT00329030,NCT00240565$$https://clinicaltrials.gov/search?id=%22NCT00329030%22OR%22NCT00240565%22
CHEMBL1201607	Natalizumab	Antibody	2004	D020528	MULTIPLE SCLEROSIS, CHRONIC PROGRESSIVE	EFO:0003840	CHRONIC PROGRESSIVE MULTIPLE SCLEROSIS	3		ClinicalTrials$$NCT01416181,NCT01077466$$https://clinicaltrials.gov/search?id=%22NCT01416181%22OR%22NCT01077466%22
CHEMBL1201566	Darbepoetin Alfa	Protein	2001	D001943	BREAST NEOPLASMS	EFO:0000305	BREAST CARCINOMA	2	2000	ClinicalTrials$$NCT00261313$$https://clinicaltrials.gov/search?id=%22NCT00261313%22
CHEMBL1201562	Interferon Beta-1a	Protein	1996	D020529	MULTIPLE SCLEROSIS, RELAPSING-REMITTING	EFO:0003929	RELAPSING-REMITTING MULTIPLE SCLEROSIS	3	1993	ClinicalTrials$$NCT00050778,NCT02283853,NCT00292266,NCT01064401,NCT02744222,NCT00428584,NCT00530348,NCT02364986,NCT01714089,NCT01058005,NCT00548405,NCT01285401,NCT02515695,NCT02517788$$https://clinicaltrials.gov/search?id=%22NCT00050778%22OR%22NCT02283853%22OR%22NCT00292266%22OR%22NCT01064401%22OR%22NCT02744222%22OR%22NCT00428584%22OR%22NCT00530348%22OR%22NCT02364986%22OR%22NCT01714089%22OR%22NCT01058005%22OR%22NCT00548405%22OR%22NCT01285401%22OR%22NCT02515695%22OR%22NCT02517788%22
CHEMBL1201562	Interferon Beta-1a	Protein	1996	D000544	ALZHEIMER DISEASE	EFO:0000249	ALZHEIMERS DISEASE	2	1993	ClinicalTrials$$NCT01075763$$https://clinicaltrials.gov/search?id=%22NCT01075763%22
CHEMBL1201506	Gemtuzumab Ozogamicin	Antibody	2000	D009369	NEOPLASMS	EFO:0000616	NEOPLASM	4	2000	ATC$$L01XC05$$http://www.whocc.no/atc_ddd_index/?code=L01XC05
CHEMBL1201631	Insulin Human	Protein	1982	D007006	HYPOGONADISM	HP:0000044	HYPOGONADOTROPHIC HYPOGONADISM	1	1983	ClinicalTrials$$NCT02154477$$https://clinicaltrials.gov/search?id=%22NCT02154477%22
CHEMBL1201631	Insulin Human	Protein	1982	D012559	SCHIZOPHRENIA	EFO:0000692	SCHIZOPHRENIA	1	1983	ClinicalTrials$$NCT00916201$$https://clinicaltrials.gov/search?id=%22NCT00916201%22
CHEMBL1201631	Insulin Human	Protein	1982	D009765	OBESITY	EFO:0001073	OBESITY	0	1983	ClinicalTrials$$NCT02642523$$https://clinicaltrials.gov/search?id=%22NCT02642523%22
CHEMBL1201631	Insulin Human	Protein	1982	D009203	MYOCARDIAL INFARCTION	EFO:0000612	MYOCARDIAL INFARCTION	1	1983	ClinicalTrials$$NCT00209144$$https://clinicaltrials.gov/search?id=%22NCT00209144%22
CHEMBL1201670	Sargramostim	Protein	1991	D011649	PULMONARY ALVEOLAR PROTEINOSIS	HP:0006517	ALVEOLAR PROTEINOSIS	2	1992	ClinicalTrials$$NCT00901511$$https://clinicaltrials.gov/search?id=%22NCT00901511%22
CHEMBL1201670	Sargramostim	Protein	1991	D011649	PULMONARY ALVEOLAR PROTEINOSIS	Orphanet:264675	CONGENITAL PULMONARY ALVEOLAR PROTEINOSIS	2	1992	ClinicalTrials$$NCT01511068$$https://clinicaltrials.gov/search?id=%22NCT01511068%22
CHEMBL1201670	Sargramostim	Protein	1991	D009369	NEOPLASMS	EFO:0000616	NEOPLASM	1	1992	ClinicalTrials$$NCT00009958$$https://clinicaltrials.gov/search?id=%22NCT00009958%22
CHEMBL1201570	Anakinra	Protein	2001	D006333	HEART FAILURE	EFO:0003144	HEART FAILURE	2	1994	ClinicalTrials$$NCT01300650,NCT02547766,NCT02173548,NCT01936844,NCT01936909$$https://clinicaltrials.gov/search?id=%22NCT01300650%22OR%22NCT02547766%22OR%22NCT02173548%22OR%22NCT01936844%22OR%22NCT01936909%22
CHEMBL1201570	Anakinra	Protein	2001	D010003	OSTEOARTHRITIS	EFO:0002506	OSTEOARTHRITIS	2	1994	ClinicalTrials$$NCT00110916$$https://clinicaltrials.gov/search?id=%22NCT00110916%22
CHEMBL1201570	Anakinra	Protein	2001	D007154	IMMUNE SYSTEM DISEASES	EFO:0000540	IMMUNE SYSTEM DISEASE	4	1994	ATC$$L04AC03$$http://www.whocc.no/atc_ddd_index/?code=L04AC03
CHEMBL1201570	Anakinra	Protein	2001	D001171	ARTHRITIS, JUVENILE	EFO:0002609	CHRONIC CHILDHOOD ARTHRITIS	2	1994	ClinicalTrials$$NCT00037648$$https://clinicaltrials.gov/search?id=%22NCT00037648%22
CHEMBL1201576	Rituximab	Antibody	1997	D001172	ARTHRITIS, RHEUMATOID	EFO:0000685	RHEUMATOID ARTHRITIS	4	1997	ClinicalTrials$$NCT01638715,NCT02371096,NCT02731560,NCT00443651,NCT01126541,NCT01765374,NCT00425932,NCT01295151,NCT01526057,NCT01682512,NCT01759030,NCT00664521,NCT02514772,NCT02819726,NCT00502840,NCT01272908,NCT01274182,NCT02079532,NCT02792699,NCT01021735,NCT01244958,NCT02149121,NCT02296775,NCT00396812,NCT00555542,NCT01593332,NCT02304354,NCT00147966,NCT00422383,NCT00503425,NCT01534884,NCT02468791,NCT02693210$$https://clinicaltrials.gov/search?id=%22NCT01638715%22OR%22NCT02371096%22OR%22NCT02731560%22OR%22NCT00443651%22OR%22NCT01126541%22OR%22NCT01765374%22OR%22NCT00425932%22OR%22NCT01295151%22OR%22NCT01526057%22OR%22NCT01682512%22OR%22NCT01759030%22OR%22NCT00664521%22OR%22NCT02514772%22OR%22NCT02819726%22OR%22NCT00502840%22OR%22NCT01272908%22OR%22NCT01274182%22OR%22NCT02079532%22OR%22NCT02792699%22OR%22NCT01021735%22OR%22NCT01244958%22OR%22NCT02149121%22OR%22NCT02296775%22OR%22NCT00396812%22OR%22NCT00555542%22OR%22NCT01593332%22OR%22NCT02304354%22OR%22NCT00147966%22OR%22NCT00422383%22OR%22NCT00503425%22OR%22NCT01534884%22OR%22NCT02468791%22OR%22NCT02693210%22####DailyMed$$setid=b172773b-3905-4a1c-ad95-bab4b6126563$$http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b172773b-3905-4a1c-ad95-bab4b6126563
CHEMBL1201576	Rituximab	Antibody	1997	D008545	MELANOMA	EFO:0002617	METASTATIC MELANOMA	1	1997	ClinicalTrials$$NCT01032122$$https://clinicaltrials.gov/search?id=%22NCT01032122%22
CHEMBL1201576	Rituximab	Antibody	1997	D051436	RENAL INSUFFICIENCY, CHRONIC	EFO:0003884	CHRONIC KIDNEY DISEASE	1	1997	ClinicalTrials$$NCT00261547,NCT01178216,NCT00476515$$https://clinicaltrials.gov/search?id=%22NCT00261547%22OR%22NCT01178216%22OR%22NCT00476515%22
CHEMBL1201576	Rituximab	Antibody	1997	D012859	SJOGREN'S SYNDROME	EFO:0000699	SJOGREN SYNDROME	2	1997	ClinicalTrials$$NCT00740948,NCT00101829,NCT02631538$$https://clinicaltrials.gov/search?id=%22NCT00740948%22OR%22NCT00101829%22OR%22NCT02631538%22
CHEMBL1201576	Rituximab	Antibody	1997	D049970	GRAVES OPHTHALMOPATHY	EFO:1001466	GRAVES OPHTHALMOPATHY	2	1997	ClinicalTrials$$NCT02316691$$https://clinicaltrials.gov/search?id=%22NCT02316691%22
CHEMBL1201576	Rituximab	Antibody	1997	D011649	PULMONARY ALVEOLAR PROTEINOSIS	HP:0006517	ALVEOLAR PROTEINOSIS	2	1997	ClinicalTrials$$NCT00552461$$https://clinicaltrials.gov/search?id=%22NCT00552461%22
CHEMBL1201576	Rituximab	Antibody	1997	D009157	MYASTHENIA GRAVIS	EFO:0004991	MYASTHENIA GRAVIS	3	1997	ClinicalTrials$$NCT02950155,NCT02110706$$https://clinicaltrials.gov/search?id=%22NCT02950155%22OR%22NCT02110706%22
CHEMBL1201577	Cetuximab	Antibody	2004	D002289	CARCINOMA, NON-SMALL-CELL LUNG	EFO:0003060	NON-SMALL CELL LUNG CARCINOMA	3	1999	ClinicalTrials$$NCT01102231,NCT00561054,NCT02845856,NCT00207116,NCT00063388,NCT00820755,NCT00694603,NCT00492206,NCT00842712,NCT00203931$$https://clinicaltrials.gov/search?id=%22NCT01102231%22OR%22NCT00561054%22OR%22NCT02845856%22OR%22NCT00207116%22OR%22NCT00063388%22OR%22NCT00820755%22OR%22NCT00694603%22OR%22NCT00492206%22OR%22NCT00842712%22OR%22NCT00203931%22
CHEMBL1201577	Cetuximab	Antibody	2004	D015179	COLORECTAL NEOPLASMS	EFO:0000365	COLORECTAL ADENOCARCINOMA	4	1999	ClinicalTrials$$NCT01086267,NCT01276379,NCT01309126,NCT01060423,NCT01338558,NCT01251536,NCT00327093,NCT00125034,NCT00640471,NCT02942706$$https://clinicaltrials.gov/search?id=%22NCT01086267%22OR%22NCT01276379%22OR%22NCT01309126%22OR%22NCT01060423%22OR%22NCT01338558%22OR%22NCT01251536%22OR%22NCT00327093%22OR%22NCT00125034%22OR%22NCT00640471%22OR%22NCT02942706%22####DailyMed$$setid=8bc6397e-4bd8-4d37-a007-a327e4da34d9$$http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8bc6397e-4bd8-4d37-a007-a327e4da34d9
CHEMBL1201577	Cetuximab	Antibody	2004	D012004	RECTAL NEOPLASMS	EFO:1000657	RECTUM CANCER	2	1999	ClinicalTrials$$NCT00964457$$https://clinicaltrials.gov/search?id=%22NCT00964457%22
CHEMBL1201577	Cetuximab	Antibody	2004	D010051	OVARIAN NEOPLASMS	EFO:0001075	OVARIAN CARCINOMA	2	1999	ClinicalTrials$$NCT00082212$$https://clinicaltrials.gov/search?id=%22NCT00082212%22
CHEMBL1201577	Cetuximab	Antibody	2004	D005909	GLIOBLASTOMA	EFO:0000519	GLIOBLASTOMA MULTIFORME	2	1999	ClinicalTrials$$NCT01044225$$https://clinicaltrials.gov/search?id=%22NCT01044225%22
